Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Tata,Punch EV,SUV,5,4,Electric,Automatic,1365000,Delhi,Available
Mahindra,XUV400,SUV,5,10,Electric,Automatic,1795000,Delhi,Available
Maruti Suzuki,Jimny,SUV,4,5,Petrol,Manual,1461000,Delhi,Available
Mahindra,XUV 3XO,SUV,5,9,Diesel,Manual,1354000,Delhi,Available
Toyota,Urban Cruiser Taisor,SUV,5,4,Petrol,Manual,874000,Delhi,Available
Maruti Suzuki,Ignis,Hatchback,5,6,Petrol,Manual,642000,Delhi,Available
Hyundai,Creta N Line,SUV,5,6,Petrol,Automatic,2142000,Delhi,Available
Maruti Suzuki,S-Presso,SUV,5,6,Petrol,Manual,552000,Delhi,Available
Volkswagen,Virtus,Sedan,5,7,Petrol,Manual,1340000,Delhi,Available
Volkswagen,Taigun,SUV,5,6,Petrol,Manual,1367000,Delhi,Available
Mahindra,Bolero,SUV,7,2,Diesel,Manual,1342000,Delhi,Available
Mahindra,Thar,SUV,4,5,Diesel,Manual,1632000,Delhi,Available
Tata,Safari,SUV,7,2,Diesel,Manual,1837000,Delhi,Available
Toyota,Fortuner Legender,SUV,7,1,Diesel,Automatic,5319000,Delhi,Available
Mahindra,Bolero Neo,SUV,7,5,Diesel,Manual,1191000,Delhi,Available
Tata,Curvv,SUV,5,4,Petrol,Manual,1312000,Delhi,Available
Hyundai,IONIQ 5,SUV,5,3,Electric,Automatic,4772000,Delhi,Available
Toyota,Fortuner,SUV,7,8,Diesel,Manual,4361000,Delhi,Available
Tata,Tigor,Sedan,5,2,Petrol,Manual,669000,Delhi,Available
Tata,Tiago EV,Hatchback,5,6,Electric,Automatic,1093000,Delhi,Available
Tata,Tiago NRG,Hatchback,5,4,Petrol,Manual,830000,Delhi,Available
Honda,Amaze,Sedan,5,6,Petrol,Manual,919000,Delhi,Available
Mahindra,XEV 9e,SUV,5,7,Electric,Automatic,3342000,Delhi,Available
Nissan,Magnite,SUV,5,2,Petrol,Manual,708000,Delhi,Available
Maruti Suzuki,Dzire,Sedan,5,6,Petrol,Manual,774000,Delhi,Available
Tata,Tiago,Hatchback,5,2,Petrol,Manual,562000,Delhi,Available
Mahindra,BE 6,SUV,5,8,Electric,Automatic,2961000,Delhi,Available
Mahindra,Thar Roxx,SUV,5,3,Petrol,Automatic,1889000,Delhi,Available
Skoda,Kylaq,SUV,5,4,Petrol,Manual,950000,Delhi,Available
MG,Windsor EV,SUV,5,4,Electric,Automatic,1719000,Delhi,Available
Hyundai,Creta Electric,SUV,5,5,Electric,Automatic,2023999,Delhi,Available
Hyundai,Alcazar,SUV,7,8,Petrol,Manual,1748000,Delhi,Available
Volkswagen,Tiguan R-Line,SUV,5,6,Petrol,Automatic,5681000,Delhi,Available
Tata,Altroz,Hatchback,5,5,Petrol,Manual,785000,Delhi,Available
Skoda,Kodiaq,SUV,7,9,Petrol,Automatic,5457000,Delhi,Available
Maruti Suzuki,Baleno,Hatchback,5,7,Petrol,Manual,757000,Delhi,Available
Citroen,Aircross,SUV,5,2,Petrol,Manual,974000,Delhi,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,7,Petrol,Manual,1015000,Delhi,Available
Citroen,Basalt,SUV,5,2,Petrol,Manual,943000,Delhi,Available
Tata,Harrier EV,SUV,5,2,Electric,Automatic,2316000,Delhi,Available
Kia,Carens Clavis,SUV,6,7,Petrol,Manual,1332000,Delhi,Available
Citroen,C3,SUV,5,4,Petrol,Manual,715000,Delhi,Available
Hyundai,Creta,SUV,5,11,Petrol,Manual,1284000,Faridabad,Available
Hyundai,Venue,SUV,5,4,Petrol,Manual,917000,Faridabad,Available
Kia,Sonet,SUV,5,7,Petrol,Manual,955000,Faridabad,Available
Kia,Syros,SUV,5,8,Petrol,Manual,1066000,Faridabad,Available
Maruti Suzuki,Baleno,Hatchback,5,6,Petrol,Manual,763000,Faridabad,Available
Maruti Suzuki,Brezza,SUV,5,5,Petrol,Manual,975000,Faridabad,Available
Maruti Suzuki,Grand Vitara,SUV,5,1,Petrol,Manual,1282000,Faridabad,Available
Mahindra,XUV700,SUV,7,5,Diesel,Manual,1811000,Faridabad,Available
Mahindra,Scorpio-N,SUV,7,7,Petrol,Manual,2496000,Faridabad,Available
Tata,Punch,SUV,5,2,Petrol,Manual,673000,Faridabad,Available
Tata,Nexon,SUV,5,2,CNG,Manual,1013000,Faridabad,Available
Hyundai,Grand i10 Nios,Hatchback,5,3,Petrol,Manual,680000,Faridabad,Available
Hyundai,Aura,Sedan,5,1,CNG,Manual,863000,Faridabad,Available
Maruti Suzuki,Wagon R,Hatchback,5,3,Petrol,Manual,635000,Faridabad,Available
Maruti Suzuki,Swift,Hatchback,5,4,Petrol,Manual,739000,Faridabad,Available
Honda,City,Sedan,5,6,Petrol,Automatic,1630000,Faridabad,Available
Renault,Triber,MPV/MUV,7,2,Petrol,Manual,712000,Faridabad,Available
Renault,Kwid,Hatchback,5,5,Petrol,Manual,579000,Faridabad,Available
Renault,Kiger,SUV,5,5,Petrol,Manual,713000,Faridabad,Available
Tata,Nexon EV,SUV,5,4,Electric,Automatic,1484000,Faridabad,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,6,Petrol,Manual,1133000,Faridabad,Available
Maruti Suzuki,Celerio,Hatchback,5,6,Petrol,Manual,592000,Faridabad,Available
Maruti Suzuki,XL6,SUV,6,6,Petrol,Manual,1338000,Faridabad,Available
Toyota,Glanza,Hatchback,5,5,Petrol,Manual,1114000,Faridabad,Available
Maruti Suzuki,Alto K10,Hatchback,5,6,Petrol,Manual,545000,Faridabad,Available
Hyundai,Venue N-Line,SUV,5,5,Petrol,Manual,1401000,Faridabad,Available
Hyundai,Tucson,SUV,5,5,Petrol,Automatic,3397000,Faridabad,Available
Maruti Suzuki,Eeco,Minivan/Van,5,5,Petrol,Manual,660000,Faridabad,Available
Toyota,Innova Crysta,SUV,8,5,Diesel,Manual,2286000,Faridabad,Available
Kia,Seltos,SUV,5,7,Petrol,Manual,1273000,Faridabad,Available
Toyota,Rumion,SUV,7,5,Petrol,Automatic,1383000,Faridabad,Available
Kia,Carens,SUV,7,7,Petrol,Manual,1295000,Faridabad,Available
Honda,Elevate,SUV,5,7,Petrol,Manual,1426000,Faridabad,Available
Toyota,Urban Cruiser Hyryder,SUV,5,11,Petrol,Automatic,2166000,Faridabad,Available
Skoda,Slavia,Sedan,5,4,Petrol,Manual,1552000,Faridabad,Available
Skoda,Kushaq,SUV,5,10,Petrol,Manual,1711000,Faridabad,Available
Hyundai,Exter,SUV,5,1,Petrol,Manual,681000,Faridabad,Available
Maruti Suzuki,Fronx,SUV,5,6,Petrol,Manual,852999,Faridabad,Available
Maruti Suzuki,Invicto,SUV,7,4,Petrol,Automatic,2932000,Faridabad,Available
Hyundai,Verna,Sedan,5,7,Petrol,Automatic,1864999,Faridabad,Available
Tata,Harrier,SUV,5,2,Diesel,Manual,2157000,Faridabad,Available
Toyota,Fortuner,SUV,7,8,Diesel,Manual,4261000,Faridabad,Available
Hyundai,Alcazar,SUV,7,8,Petrol,Manual,1723000,Faridabad,Available
Mahindra,Thar,SUV,4,5,Diesel,Manual,1536000,Faridabad,Available
Hyundai,IONIQ 5,SUV,5,3,Electric,Automatic,4911000,Faridabad,Available
Toyota,Fortuner Legender,SUV,7,1,Diesel,Automatic,5199000,Faridabad,Available
Mahindra,Bolero Neo,SUV,7,5,Diesel,Manual,1168000,Faridabad,Available
Maruti Suzuki,S-Presso,SUV,4,6,Petrol,Manual,550000,Faridabad,Available
Tata,Tigor,Sedan,5,2,Petrol,Manual,674000,Faridabad,Available
Tata,Tiago,Hatchback,5,2,Petrol,Manual,565000,Faridabad,Available
Maruti Suzuki,Dzire,Sedan,5,6,Petrol,Manual,774000,Faridabad,Available
Honda,Amaze,Sedan,5,6,Petrol,Manual,927999,Faridabad,Available
Maruti Suzuki,Ignis,Hatchback,5,6,Petrol,Manual,651000,Faridabad,Available
MG,Astor,SUV,5,2,Petrol,Manual,1309000,Faridabad,Available
MG,Gloster,SUV,7,4,Diesel,Automatic,4704000,Faridabad,Available
Hyundai,i20 N Line,Hatchback,5,7,Petrol,Manual,1147000,Faridabad,Available
Hyundai,Creta N Line,SUV,5,6,Petrol,Automatic,2112000,Faridabad,Available
Hyundai,Creta Electric,SUV,5,5,Electric,Automatic,2069000,Faridabad,Available
Maruti Suzuki,Jimny,SUV,4,5,Petrol,Manual,1437000,Faridabad,Available
Mahindra,XUV400,SUV,5,10,Electric,Automatic,1829000,Faridabad,Available
Nissan,Magnite,SUV,5,2,Petrol,Manual,713000,Faridabad,Available
Tata,Safari,SUV,7,2,Diesel,Manual,1780000,Faridabad,Available
Tata,Curvv,SUV,5,4,Petrol,Manual,1290000,Faridabad,Available
MG,Comet EV,Hatchback,4,3,Electric,Automatic,967000,Faridabad,Available
Mahindra,XUV 3XO,SUV,5,7,Petrol,Automatic,1366000,Faridabad,Available
MG,ZS EV,SUV,5,3,Electric,Automatic,2048999,Faridabad,Available
Tata,Tiago EV,Hatchback,5,1,Electric,Automatic,861000,Faridabad,Available
Tata,Tiago NRG,Hatchback,5,4,Petrol,Manual,838000,Faridabad,Available
Mahindra,BE 6,SUV,5,8,Electric,Automatic,3002000,Faridabad,Available
Mahindra,XEV 9e,SUV,5,7,Electric,Automatic,4426000,Faridabad,Available
Mahindra,Thar Roxx,SUV,5,3,Petrol,Manual,1542000,Faridabad,Available
MG,Hector Plus,SUV,7,4,Petrol,Manual,2181000,Faridabad,Available
Tata,Punch EV,SUV,5,1,Electric,Automatic,1060000,Faridabad,Available
Toyota,Urban Cruiser Taisor,SUV,5,4,Petrol,Manual,886000,Faridabad,Available
